year,price
"May
2017",289.676
"May
2017",217.37
"May
2017",246.5
"May
2017",204.863
"Jun
2017",193.53
"Jun
2017",194.26
"Jun
2017",203.57
"Jun
2017",216.91
"Jun
2017",237.6
"Jul
2017",154
"Jul
2017",152.92
"Jul
2017",216.81
"Jul
2017",186.33
"Aug
2017",194.09
"Aug
2017",251.88
"Aug
2017",194.91
"Aug
2017",167.46
"Aug
2017",166.56
"Sep
2017",139.27
"Sep
2017",110.5
"Sep
2017",131.62
"Sep
2017",239.356
"Oct
2017",169.31
"Oct
2017",158
"Oct
2017",138.1
"Oct
2017",145.4
"Oct
2017",131.17
"Nov
2017",138.29
"Nov
2017",114.05
"Nov
2017",219.35
"Dec
2017",240.71
"Dec
2017",126.01
"Jan
2018",158.3
"Feb
2018",148.34
