"year","price"
"May
2017","335.091"
"May
2017","322.172"
"May
2017","318.725"
"May
2017","348.053"
"May
2017","350.6"
"Jun
2017","328.74"
"Jun
2017","346.745"
"Jun
2017","346.233"
"Jun
2017","396"
"Jul
2017","348.319"
"Jul
2017","303.09"
"Jul
2017","346.745"
"Jul
2017","372.6"
"Aug
2017","372.6"
"Aug
2017","356.6"
"Aug
2017","340.866"
"Aug
2017","298.39"
"Sep
2017","280"
"Sep
2017","292.205"
"Sep
2017","270.305"
"Sep
2017","246.001"
"Sep
2017","251.269"
"Oct
2017","273.454"
"Oct
2017","277.6"
"Oct
2017","269.867"
"Oct
2017","259.763"
"Nov
2017","186.626"
"Nov
2017","259.802"
"Nov
2017","294.476"
"Nov
2017","312.543"
"Dec
2017","236.4"
"Dec
2017","177.6"
"Dec
2017","297.6"
"Dec
2017","396.609"
"Dec
2017","427.556"
"Jan
2018","458"
"Jan
2018","245.443"
"Jan
2018","237.898"
"Jan
2018","236.4"
"Jan
2018","246.4"
"Feb
2018","236.6"
"Feb
2018","262.03"
"Feb
2018","266.647"
"Feb
2018","245.12"
"Mar
2018","286.4"
"Mar
2018","268.568"
"Mar
2018","287.27"
"Apr
2018","332"
"Apr
2018","287.567"
"May
2018","291.6"
