"year","price"
"May
2017","329.268"
"May
2017","296.2"
"May
2017","324.178"
"May
2017","304.756"
"Jun
2017","391.796"
"Jun
2017","375"
"Jun
2017","375"
"Jun
2017","375.647"
"Jul
2017","369.6"
"Jul
2017","360.64"
"Jul
2017","351.308"
"Jul
2017","391.6"
"Aug
2017","400.334"
"Aug
2017","302.368"
"Aug
2017","335.549"
"Aug
2017","331.43"
"Aug
2017","388"
"Sep
2017","305.545"
"Sep
2017","233.32"
"Sep
2017","295.309"
"Sep
2017","295.237"
"Oct
2017","272.48"
"Oct
2017","266.251"
"Oct
2017","279.62"
"Oct
2017","258.589"
"Nov
2017","275.311"
"Nov
2017","259.802"
"Nov
2017","291.145"
"Nov
2017","248.527"
"Dec
2017","177.6"
"Dec
2017","175.94"
"Dec
2017","341.926"
"Dec
2017","377.212"
"Dec
2017","451.231"
"Jan
2018","220.311"
"Jan
2018","220.311"
"Jan
2018","236.292"
"Feb
2018","237.021"
"Feb
2018","220.311"
"Feb
2018","236.341"
"Feb
2018","231.59"
"Mar
2018","232.571"
"Mar
2018","231.6"
"Mar
2018","316.6"
"Mar
2018","236.341"
"Apr
2018","301.4"
"Apr
2018","236.341"
"Apr
2018","251.363"
"May
2018","322.631"
